[2017-12-27 20:01:19+00:00; claudioedantas; Ministro do Trabalho pede demissão https://t.co/bwWZKfL0af; 2; 8; 16; 0; https://twitter.com/claudioedantas/status/946108752570306562; None; None]
[2017-12-27 19:48:31+00:00; claudioedantas; Em resposta a Marun, governadores falam em prática “criminosa” https://t.co/NAfhYqM5k6; 2; 3; 7; 1; https://twitter.com/claudioedantas/status/946105533811101702; None; None]
[2017-12-27 19:45:06+00:00; claudioedantas; Indulto de Temer não é shampoo, diz Miguel Reale Jr. https://t.co/FExwZHKWMb; 2; 14; 38; 3; https://twitter.com/claudioedantas/status/946104673961955328; None; None]
[2017-12-27 19:43:21+00:00; claudioedantas; PF anuncia prisão de traficante do cartel de Jalisco https://t.co/0a6awbzs7p; 1; 4; 15; 0; https://twitter.com/claudioedantas/status/946104234084388864; None; None]
[2017-12-27 19:42:27+00:00; claudioedantas; Lula, bola murcha https://t.co/Ws4hFdLfvM; 2; 4; 24; 1; https://twitter.com/claudioedantas/status/946104004903399426; None; None]
[2017-12-27 19:23:58+00:00; claudioedantas; Geddel e a maldição do cemitério indígena https://t.co/mOxTrXQKeo; 0; 2; 7; 0; https://twitter.com/claudioedantas/status/946099356561694725; None; None]
[2017-12-27 16:02:50+00:00; claudioedantas; MPF quer que Temer esclareça regras para usar aviões da FAB https://t.co/KxBRlOsXxV; 5; 51; 94; 4; https://twitter.com/claudioedantas/status/946048739482984448; None; None]
[2017-12-27 15:48:20+00:00; claudioedantas; Vieira Lima, uma família de 130 milhões (por enquanto) https://t.co/usz6hNoPFO; 1; 19; 35; 2; https://twitter.com/claudioedantas/status/946045086869180421; None; None]
[2017-12-27 14:55:38+00:00; claudioedantas; Confiar em Geddel dá nisso https://t.co/zh3PddkcP7; 1; 3; 18; 1; https://twitter.com/claudioedantas/status/946031826375729153; None; None]
[2017-12-27 14:55:19+00:00; claudioedantas; Meirelles ainda não tuitou https://t.co/2ZBsh0uLdx; 0; 1; 11; 0; https://twitter.com/claudioedantas/status/946031746885341184; None; None]
