[2020-11-21 19:52:21+00:00; RenanSantosMBL; Verdade seja dita: a “imprensa profissional”(risos) se tornou uma máquina vendedora de falsos consensos que redundam apenas em cancelamentos, depredação e charlatanismo em rede social. Institucionalizou o tribunal do Twitter. Tem mais é que se foder.; 21; 55; 622; 3; https://twitter.com/RenanSantosMBL/status/1330237634103422977; None; None]
[2020-11-21 19:44:09+00:00; RenanSantosMBL; Regra geral para casos polêmicos:  1) Procure o veredito de Felipe Neto e gente do tipo 2) Enxergue a politização  3) Aguarde o ato na paulista 4) Nao vá  5) Verdade virá à tona 6) Se posicione; 8; 13; 303; 0; https://twitter.com/RenanSantosMBL/status/1330235571126620161; None; None]
[2020-11-21 19:30:25+00:00; RenanSantosMBL; A verdade é que as pessoas de bom senso tem que se levantar contra o terraplanismo bolsonarista e contra, TAMBÉM,  o tribunal político das redes sociais.  Que estes enfiem sua histeria canceladora e sua moral politicamente correta no rabo. São escrotos e vagabundos.; 7; 17; 315; 0; https://twitter.com/RenanSantosMBL/status/1330232117029199883; None; None]
[2020-11-21 19:22:34+00:00; RenanSantosMBL; @oaxolote_ Foi. Mas o CONTEXTO é tão diferente da narrativa vendida ( seguranças malvados matando por racismo) que deveria servir de lição.; 3; 1; 13; 0; https://twitter.com/RenanSantosMBL/status/1330230139721027593; None; None]
[2020-11-21 19:19:59+00:00; RenanSantosMBL; “Ah mas eu quero falar”. Lembre-se sempre do caso Mariana Ferrer. Da escola base. Desse agressor maluco. A história real nunca é o exemplo que cabe em sua narrativa.; 1; 3; 126; 0; https://twitter.com/RenanSantosMBL/status/1330229490530856962; None; None]
[2020-11-21 19:17:53+00:00; RenanSantosMBL; Regra: polêmicas de internet que envolvam estupro e racismo quase sempre redundam em charlatanismo. Aguardem em silêncio até que a verdade se abre. Não tenha a alma de um Felipe Neto.; 8; 21; 292; 2; https://twitter.com/RenanSantosMBL/status/1330228961780133888; None; None]
[2020-11-21 19:16:30+00:00; RenanSantosMBL; Não foi racismo.; 61; 20; 470; 5; https://twitter.com/RenanSantosMBL/status/1330228615259295744; None; None]
[2020-11-20 19:21:33+00:00; RenanSantosMBL; @claudionjr Após o fracasso da atuação do poder público na primeira onda, qualquer coisa que redunde em redução de faturamento deve ser evitada. Tô longe de ser minion. Mas essa brincadeira é impossível de ser mantida; 0; 0; 1; 0; https://twitter.com/RenanSantosMBL/status/1329867495923216385; None; None]
[2020-11-20 14:37:57+00:00; RenanSantosMBL; Covas lutando bravamente pra perder as eleições   https://t.co/7HV6uJTspF; 19; 3; 119; 2; https://twitter.com/RenanSantosMBL/status/1329796124174135296; None; None]
[2020-11-20 14:23:48+00:00; RenanSantosMBL; Esse cara é um tarado. Um maluco. Por ele, vivemos em quarentena pra sempre. Agora fica cagando regra sobre comerciante, que vem pagando o pato dessa porra toda https://t.co/i7dlLbYqpa; 44; 8; 297; 0; https://twitter.com/RenanSantosMBL/status/1329792563180613634; None; https://twitter.com/oatila/status/1329791933984673794]
