2020-05-19 03:01:14+00:00; danilogentili; ‪Advogado Paloma perde as estribeiras com o Sr. Stallone. ‬Lamentável que em pleno 2020 a gente ainda veja cenas como essa no debate público brasileiro‬.; 23696; 688; ; ; https://www.instagram.com/p/CAWoNNFHtyz/
2020-05-17 16:31:55+00:00; danilogentili; Sigam @stallonedobrasil - a esperança da nação!; 17290; 690; ; ; https://www.instagram.com/p/CAS7cHDnI2a/
2020-05-15 18:08:37+00:00; danilogentili; Você não vai ler isso no site dos bonitinhos que cobrem cultura pop e cinema no Brasil, mas o nosso filme tem tido uma ótima vida internacional e se tornado lá fora um dos terrores brasileiros mais assistido de todos os tempos. Aléms dos prêmios internacional saiu até em DVD em língua inglesa. E em breve a série estréia no @warnerchannelbrasil; 17283; 400; ; ; https://www.instagram.com/p/CAN8_9yHg_1/
2020-05-13 16:52:03+00:00; danilogentili; Os caras vem, acusam de um crime, não justificam, e apenas banem! A vá tomá no rabo! Sem critério algum!; 251126; 13735; ; ; https://www.instagram.com/p/CAIqc-sH5dS/
2020-05-12 00:35:12+00:00; danilogentili; O @leolins escreveu um quadrinho que se passa no cu dele, ou seja, no inferno. Corre pra assistir a live que ele ta fazendo! Abriu a venda! Corre no perfil do @leolins , assiste a live dele e adquira já o seu #whatthehell; 8250; 162; ; ; https://www.instagram.com/p/CAEV6yLHM3_/
2020-05-11 17:58:53+00:00; danilogentili; Planejando o retorno do #thenoitecomdanilogentili com @joao_mesquita e grande elenco.; 91316; 1490; ; ; https://www.instagram.com/p/CADotJlHnvL/
2020-05-09 22:52:05+00:00; danilogentili; None; 21894; 515; ; ; https://www.instagram.com/p/B__Aq23nA7e/
2020-05-08 21:07:33+00:00; danilogentili; Aí é pesado...; 31881; 1197; ; ; https://www.instagram.com/p/B_8P4NQntlU/
2020-05-06 16:04:40+00:00; danilogentili; O @carioca é fã do Stevie Wonder. Mas eu contei uma coisa a respeito do cantor que ele não sabia.; 30943; 790; ; ; https://www.instagram.com/p/B_2iFybDx4Y/
2020-05-06 03:29:46+00:00; danilogentili; Teve de tudo nessa live: psicopata, gente no cativeiro, música, gente de todo canto do Brasil, bêbado, maconheiro... até @cesarmenotti @rogeriomorgado e @carioca entraram! Assista e confira a loucura muito louca.; 21291; 623; ; ; https://www.instagram.com/p/B_1L6YFHXpx/
2020-05-06 00:20:50+00:00; danilogentili; Em breve a série no @warnerchannelbrasil ! Assista hoje mesmo o filme nas plataformas de streaming, incluindo Netflix.; 36780; 393; ; ; https://www.instagram.com/p/B_03pcHHmsY/
