2020-08-24 01:23:15+00:00; MarcosBotelho; #RespondeBolsonaro dinheiro na conta da esposa? relacionamento com milícia do Rio? rachadinhas no seu gabinete e nos do seus filhos? advogado escondendo miliciano???; 5; 19; 295; 2; https://twitter.com/MarcosBotelho/status/1297706001802592256; None; None
2020-08-23 00:16:13+00:00; MarcosBotelho; Vida pública e a benção do unfollow   https://t.co/NKRBM8gv3x https://t.co/IrkgtCWXby; 0; 0; 6; 0; https://twitter.com/MarcosBotelho/status/1297326744031166464; None; None
2020-08-20 15:49:33+00:00; MarcosBotelho; Conheci esse monstro da guitarra essa semana, baita privilégio vê-lo tocar no quintal de casa literalmente @mateusasato 🎸  Ps. Tive que tirar a máscara para a foto histórica https://t.co/Kh90Uq4Snc; 5; 0; 106; 0; https://twitter.com/MarcosBotelho/status/1296474462532120576; None; None
2020-08-19 17:01:42+00:00; MarcosBotelho; Hoje tem webinario com @victorfontana de como ler a Bíblia ao vivo. Se inscreva gratuitamente para receber o link da Live https://t.co/zuwddEnJN9 https://t.co/g6vkWUCWm6; 0; 0; 4; 0; https://twitter.com/MarcosBotelho/status/1296130231980498944; None; None
2020-08-16 21:34:42+00:00; MarcosBotelho; Tem muita coisa ruim nessa quarentena, mas uma coisa boa, é uma nova conexão com a família, e isso vai ficar para sempre! 😍❤️👨‍👩‍👧‍👦 https://t.co/yYhCKYkffg; 0; 0; 8; 0; https://twitter.com/MarcosBotelho/status/1295111770072395777; None; None
2020-08-11 21:33:16+00:00; MarcosBotelho; Amanhã (quarta as 21h) teremos um webinário  sobre como ler a Bíblia melhor, com técnicas hermenêuticas e teológicas. Será de graça, mas apenas os cadastrados terão pleno acesso. Já temos 221 inscritos!!! Se inscreva: https://t.co/zuwddEnJN9 https://t.co/4xygKEfkSM; 3; 0; 6; 0; https://twitter.com/MarcosBotelho/status/1293299467622526976; None; None
2020-08-11 20:29:59+00:00; MarcosBotelho; Amanhã (quarta as 21h) teremos um webinário  sobre como ler a Bíblia melhor, com técnicas hermenêuticas e teológicas. Será de graça, mas apenas os cadastrados terão pleno acesso. Já temos 221 inscritos!!! Se… https://t.co/lIwnPRCkpC; 0; 1; 2; 0; https://twitter.com/MarcosBotelho/status/1293283544073211904; None; None
2020-08-09 14:32:58+00:00; MarcosBotelho; @JolyonAnsuz @troyhunt https://t.co/07r0SyIomy  If you download before they have a broblem send to me de zip file please; 0; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1292468920914530304; None; None
2020-08-09 12:58:04+00:00; MarcosBotelho; Ser pai, ser marido, ser filho e adorador de Jesus Cristo me define nessa vida! Obrigado Senhor! https://t.co/HSwVmnJNIB; 0; 0; 7; 0; https://twitter.com/MarcosBotelho/status/1292445039579340800; None; None
2020-08-07 21:40:46+00:00; MarcosBotelho; @Viniciusvpa Hahahha e o corretor coloca ^; 1; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1291851805966708736; None; None
2020-08-07 21:30:26+00:00; MarcosBotelho; Alguém que me segue tem uma Canon 77D?; 0; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1291849202843123713; None; None
